"";"dw08";"sex";"educ";"dw18";"dg10";"dw19c"
"70";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"71";NA;"MANN";"MITTLERE REIFE";NA;"HESSEN";NA
"72";NA;"MANN";"HOCHSCHULREIFE";NA;"BADEN-WUERTTEMBERG";NA
"73";"BEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"SACHSEN-ANHALT";NA
"74";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"JA";"THUERINGEN";"12 BIS 25 WOCHEN"
"75";NA;"FRAU";"HOCHSCHULREIFE";NA;"HESSEN";NA
"76";NA;"FRAU";"HOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"77";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN-ANHALT";NA
"78";NA;"MANN";"HOCHSCHULREIFE";NA;"THUERINGEN";NA
"79";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"JA";"NIEDERSACHSEN";"52 BIS 103 WOCHEN"
"80";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"BAYERN";NA
"81";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"HESSEN";NA
"82";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"BAYERN";NA
"83";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"84";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"85";"BEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"BRANDENBURG";NA
"86";"UNBEFRISTET";"FRAU";"VOLKS-,HAUPTSCHULE";"NEIN";"BADEN-WUERTTEMBERG";NA
"87";NA;"MANN";"MITTLERE REIFE";NA;"SONSTIGES LAND";NA
"88";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"SONSTIGES LAND";NA
"89";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"SACHSEN-ANHALT";NA
"90";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"91";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"BAYERN";NA
"92";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"BADEN-WUERTTEMBERG";NA
"93";NA;"MANN";"HOCHSCHULREIFE";NA;"EHEM. BERLIN-OST";NA
"94";NA;"MANN";"HOCHSCHULREIFE";NA;"MECKLENB.-VORPOMMERN";NA
"95";"BEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"96";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"BRANDENBURG";NA
"97";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"98";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"99";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"100";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"HESSEN";NA
"101";NA;"FRAU";"HOCHSCHULREIFE";"NEIN";"SONSTIGES LAND";NA
"102";NA;"FRAU";"MITTLERE REIFE";NA;"MECKLENB.-VORPOMMERN";NA
"103";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"MECKLENB.-VORPOMMERN";NA
"104";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"SACHSEN";NA
"105";"UNBEFRISTET";"FRAU";"FACHHOCHSCHULREIFE";"NEIN";"HESSEN";NA
"106";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"BADEN-WUERTTEMBERG";NA
"107";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"JA";"HAMBURG";"26 BIS 51 WOCHEN"
"108";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"109";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"JA";"NORDRHEIN-WESTFALEN";"4 BIS 11 WOCHEN"
"110";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"THUERINGEN";NA
"111";NA;"FRAU";"HOCHSCHULREIFE";NA;"SONSTIGES LAND";NA
"112";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"BAYERN";NA
"113";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"EHEM. BERLIN-OST";NA
"114";NA;"FRAU";"HOCHSCHULREIFE";NA;"THUERINGEN";NA
"115";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"SACHSEN-ANHALT";NA
"116";NA;"MANN";"OHNE ABSCHLUSS";"NEIN";"BAYERN";NA
"117";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"JA";"MECKLENB.-VORPOMMERN";"26 BIS 51 WOCHEN"
"118";"UNBEFRISTET";"MANN";"FACHHOCHSCHULREIFE";"NEIN";"RHEINLAND-PFALZ";NA
"119";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"BADEN-WUERTTEMBERG";NA
"120";NA;"MANN";"MITTLERE REIFE";NA;"BRANDENBURG";NA
"121";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"NIEDERSACHSEN";NA
"122";NA;"FRAU";"HOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"123";"UNBEFRISTET";"MANN";"FACHHOCHSCHULREIFE";"NEIN";"RHEINLAND-PFALZ";NA
"124";NA;"FRAU";"HOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"125";NA;"FRAU";"FACHHOCHSCHULREIFE";NA;"EHEM. BERLIN-OST";NA
"126";NA;"FRAU";"MITTLERE REIFE";NA;"SACHSEN-ANHALT";NA
"127";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"BRANDENBURG";NA
"128";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"129";NA;"FRAU";"HOCHSCHULREIFE";NA;"SACHSEN-ANHALT";NA
"130";NA;"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"BAYERN";NA
"131";NA;"MANN";"MITTLERE REIFE";NA;"BRANDENBURG";NA
"132";NA;"FRAU";"MITTLERE REIFE";NA;"NIEDERSACHSEN";NA
"133";NA;"MANN";"HOCHSCHULREIFE";NA;"SONSTIGES LAND";NA
"134";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"135";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"JA";"BRANDENBURG";"26 BIS 51 WOCHEN"
"136";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"EHEM. BERLIN-OST";NA
"137";"BEFRISTET";"FRAU";"HOCHSCHULREIFE";"JA";"BRANDENBURG";"52 BIS 103 WOCHEN"
"138";NA;"MANN";"HOCHSCHULREIFE";NA;"NIEDERSACHSEN";NA
"139";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"JA";"SONSTIGES LAND";"4 BIS 11 WOCHEN"
"140";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"SCHLESWIG-HOLSTEIN";NA
"141";NA;"FRAU";"OHNE ABSCHLUSS";NA;"SONSTIGES LAND";NA
"142";NA;"FRAU";"HOCHSCHULREIFE";"NEIN";"NIEDERSACHSEN";NA
"143";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"144";NA;"FRAU";"HOCHSCHULREIFE";NA;"NIEDERSACHSEN";NA
"145";NA;"MANN";"VOLKS-,HAUPTSCHULE";"JA";"NORDRHEIN-WESTFALEN";"12 BIS 25 WOCHEN"
"146";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"RHEINLAND-PFALZ";NA
"147";NA;"MANN";"HOCHSCHULREIFE";NA;"SACHSEN";NA
"148";NA;"FRAU";"HOCHSCHULREIFE";NA;"SACHSEN-ANHALT";NA
"149";"UNBEFRISTET";"FRAU";"FACHHOCHSCHULREIFE";"NEIN";"BRANDENBURG";NA
"150";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"SCHLESWIG-HOLSTEIN";NA
"151";NA;"MANN";"FACHHOCHSCHULREIFE";NA;"NORDRHEIN-WESTFALEN";NA
"152";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN";NA
"153";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"JA";"SONSTIGES LAND";"104 UND MEHR WOCHEN"
"154";NA;"FRAU";"MITTLERE REIFE";NA;"NIEDERSACHSEN";NA
"155";NA;"FRAU";"MITTLERE REIFE";NA;"HESSEN";NA
"156";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"157";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"SACHSEN";NA
"158";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"159";NA;"MANN";"MITTLERE REIFE";NA;"BAYERN";NA
"160";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"FRUEHERE DT.OSTGEB.";NA
"161";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"162";"UNBEFRISTET";"MANN";"FACHHOCHSCHULREIFE";"JA";"SCHLESWIG-HOLSTEIN";"12 BIS 25 WOCHEN"
"163";"UNBEFRISTET";"MANN";"FACHHOCHSCHULREIFE";"NEIN";"HAMBURG";NA
"164";NA;"FRAU";"MITTLERE REIFE";NA;"HAMBURG";NA
"165";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"SACHSEN";NA
"166";NA;"FRAU";"MITTLERE REIFE";NA;"SACHSEN-ANHALT";NA
"167";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"SACHSEN-ANHALT";NA
"168";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"SACHSEN";NA
"169";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"JA";"SACHSEN";"4 BIS 11 WOCHEN"
"170";NA;"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"NIEDERSACHSEN";NA
"171";"UNBEFRISTET";"FRAU";"FACHHOCHSCHULREIFE";"NEIN";"BRANDENBURG";NA
"172";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"HESSEN";NA
"173";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"JA";"BRANDENBURG";"104 UND MEHR WOCHEN"
"174";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"BADEN-WUERTTEMBERG";NA
"175";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"NIEDERSACHSEN";NA
"176";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"THUERINGEN";NA
"177";NA;"FRAU";"OHNE ABSCHLUSS";NA;"RHEINLAND-PFALZ";NA
"178";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"THUERINGEN";NA
"179";"BEFRISTET";"FRAU";"MITTLERE REIFE";"JA";"BRANDENBURG";"26 BIS 51 WOCHEN"
"180";NA;"FRAU";"HOCHSCHULREIFE";NA;"SONSTIGES LAND";NA
"181";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"JA";"RHEINLAND-PFALZ";"12 BIS 25 WOCHEN"
"182";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"183";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN-ANHALT";NA
"184";"BEFRISTET";"MANN";"MITTLERE REIFE";"JA";"THUERINGEN";"52 BIS 103 WOCHEN"
"185";NA;"FRAU";"MITTLERE REIFE";"NEIN";"EHEM. BERLIN-OST";NA
"186";NA;"FRAU";"MITTLERE REIFE";NA;"BADEN-WUERTTEMBERG";NA
"187";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"188";NA;"MANN";"MITTLERE REIFE";"NEIN";"SONSTIGES LAND";NA
"189";"BEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"JA";"SONSTIGES LAND";"26 BIS 51 WOCHEN"
"190";NA;"FRAU";"HOCHSCHULREIFE";NA;"SONSTIGES LAND";NA
"191";"UNBEFRISTET";"FRAU";"FACHHOCHSCHULREIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"192";NA;"FRAU";"MITTLERE REIFE";NA;"SONSTIGES LAND";NA
"193";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"BADEN-WUERTTEMBERG";NA
"194";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"195";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"BAYERN";NA
"196";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"SACHSEN";NA
"197";NA;"FRAU";"MITTLERE REIFE";"NEIN";"SACHSEN";NA
"198";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"HESSEN";NA
"199";NA;"FRAU";"HOCHSCHULREIFE";NA;"EHEM. BERLIN-OST";NA
"200";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"BADEN-WUERTTEMBERG";NA
"201";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"SONSTIGES LAND";NA
"202";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"203";NA;"FRAU";"HOCHSCHULREIFE";NA;"SACHSEN";NA
"204";NA;"FRAU";"MITTLERE REIFE";NA;"NORDRHEIN-WESTFALEN";NA
"205";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"206";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"207";NA;"MANN";"HOCHSCHULREIFE";NA;"HAMBURG";NA
"208";NA;"MANN";"HOCHSCHULREIFE";NA;"RHEINLAND-PFALZ";NA
"209";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"SACHSEN";NA
"210";NA;"FRAU";"FACHHOCHSCHULREIFE";NA;"THUERINGEN";NA
"211";NA;"MANN";"MITTLERE REIFE";"NEIN";"THUERINGEN";NA
"212";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"FRUEHERE DT.OSTGEB.";NA
"213";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"214";NA;"FRAU";"MITTLERE REIFE";NA;"NORDRHEIN-WESTFALEN";NA
"215";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"JA";"NORDRHEIN-WESTFALEN";"12 BIS 25 WOCHEN"
"216";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"NEIN";"HESSEN";NA
"217";NA;"FRAU";"HOCHSCHULREIFE";"NEIN";"MECKLENB.-VORPOMMERN";NA
"218";NA;"MANN";"FACHHOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"219";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"SACHSEN-ANHALT";NA
"220";NA;"MANN";"MITTLERE REIFE";NA;"THUERINGEN";NA
"221";NA;"FRAU";"HOCHSCHULREIFE";NA;"SONSTIGES LAND";NA
"222";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"BAYERN";NA
"223";"UNBEFRISTET";"MANN";"HOCHSCHULREIFE";"JA";"HESSEN";"26 BIS 51 WOCHEN"
"224";NA;"MANN";"MITTLERE REIFE";NA;"SACHSEN-ANHALT";NA
"225";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"THUERINGEN";NA
"226";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"BADEN-WUERTTEMBERG";NA
"227";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"228";NA;"FRAU";"HOCHSCHULREIFE";NA;"BADEN-WUERTTEMBERG";NA
"229";NA;"FRAU";"HOCHSCHULREIFE";"NEIN";"SCHLESWIG-HOLSTEIN";NA
"230";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"HAMBURG";NA
"231";NA;"MANN";"FACHHOCHSCHULREIFE";"NEIN";"THUERINGEN";NA
"232";NA;"FRAU";"MITTLERE REIFE";NA;"THUERINGEN";NA
"233";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"JA";"NIEDERSACHSEN";"4 BIS 11 WOCHEN"
"234";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"235";NA;"FRAU";"HOCHSCHULREIFE";NA;"THUERINGEN";NA
"236";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"BRANDENBURG";NA
"237";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"SONSTIGES LAND";NA
"238";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"BAYERN";NA
"239";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"NEIN";"SACHSEN-ANHALT";NA
"240";NA;"MANN";"MITTLERE REIFE";NA;"SACHSEN-ANHALT";NA
"241";NA;"MANN";"FACHHOCHSCHULREIFE";NA;"SACHSEN";NA
"242";"UNBEFRISTET";"MANN";"VOLKS-,HAUPTSCHULE";"NEIN";"NIEDERSACHSEN";NA
"243";NA;"FRAU";"MITTLERE REIFE";NA;"BAYERN";NA
"244";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN";NA
"245";NA;"FRAU";"HOCHSCHULREIFE";NA;"SACHSEN";NA
"246";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN";NA
"247";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"NEIN";"SACHSEN";NA
"248";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"249";NA;"MANN";"HOCHSCHULREIFE";"NEIN";"BADEN-WUERTTEMBERG";NA
"250";"BEFRISTET";"FRAU";"VOLKS-,HAUPTSCHULE";"JA";"RHEINLAND-PFALZ";"104 UND MEHR WOCHEN"
"251";"UNBEFRISTET";"MANN";"MITTLERE REIFE";"JA";"THUERINGEN";"12 BIS 25 WOCHEN"
"252";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"SACHSEN";NA
"253";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"SACHSEN";NA
"254";NA;"MANN";"FACHHOCHSCHULREIFE";"JA";"NORDRHEIN-WESTFALEN";"104 UND MEHR WOCHEN"
"255";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"SACHSEN-ANHALT";NA
"256";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"THUERINGEN";NA
"257";NA;"FRAU";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"258";"UNBEFRISTET";"FRAU";"FACHHOCHSCHULREIFE";"JA";"BRANDENBURG";"12 BIS 25 WOCHEN"
"259";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"NEIN";"NORDRHEIN-WESTFALEN";NA
"260";"UNBEFRISTET";"FRAU";"MITTLERE REIFE";"JA";"BADEN-WUERTTEMBERG";"4 BIS 11 WOCHEN"
"261";NA;"MANN";"MITTLERE REIFE";NA;"MECKLENB.-VORPOMMERN";NA
"262";NA;"MANN";"VOLKS-,HAUPTSCHULE";NA;"NORDRHEIN-WESTFALEN";NA
"263";NA;"MANN";"ANDERER ABSCHLUSS";NA;"BRANDENBURG";NA
"264";NA;"MANN";"MITTLERE REIFE";NA;"THUERINGEN";NA
"265";"BEFRISTET";"MANN";"OHNE ABSCHLUSS";"JA";"NORDRHEIN-WESTFALEN";"26 BIS 51 WOCHEN"
"266";"UNBEFRISTET";"FRAU";"HOCHSCHULREIFE";"JA";"SONSTIGES LAND";"12 BIS 25 WOCHEN"
